Date,Rent,Food,Bills,Taxes,Other,AverageExpenditure
2023-01-01,200,123,111,45.62,25,504.62
2023-02-01,200,143,113,48.96,625,1129.96
2023-03-01,200,154,115,47.35,54,570.35
2023-04-01,200,165,112,43.56,74,594.56
2023-05-01,200,124,116,44.69,34,518.69
2023-06-01,200,144,117,47.32,851,1359.32
2023-07-01,200,155,112,41.25,65,573.25
2023-08-01,200,166,114,45.63,35,560.63
2023-09-01,200,125,116,48.05,21,510.05
2023-10-01,200,145,113,46.62,21,525.62
2023-11-01,200,156,117,49.96,45,567.96
2023-12-01,200,167,118,48.35,65,598.35
2024-01-01,200,126,113,44.56,25,508.56
2024-02-01,200,146,115,45.69,35,541.69
2024-03-01,200,157,117,48.32,12,534.32
2024-04-01,200,168,114,42.25,36,560.25
2024-05-01,200,127,118,46.63,89,580.63
2024-06-01,200,147,119,49.05,53,568.05
2024-07-01,200,158,114,47.62,25,544.62
2024-08-01,200,169,116,50.96,62,597.96
2024-09-01,200,128,118,49.35,62,557.35
2024-10-01,200,148,115,45.56,35,543.56
2024-11-01,200,159,119,46.69,39,563.69
2024-12-01,200,170,120,49.32,11,550.32
